14:53:56,606 | INFO  | l Console Thread | ultOsgiApplicationContextCreator | 210 - org.springframework.osgi.extender - 1.2.1 | Discovered configurations {osgibundle:/META-INF/spring/*.xml} in bundle [Fuse Kafka Producer Example (FuseCamelKafkaProducerSpringDSL)]
14:53:56,704 | INFO  | xtenderThread-18 | OsgiSpringCamelContext           | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance.
14:53:56,704 | INFO  | xtenderThread-18 | OsgiSpringCamelContext           | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
14:53:56,706 | INFO  | xtenderThread-18 | ProducerConfig                   | 314 - wrap_mvn_org.apache.kafka_kafka-clients_0.9.0.1 - 0.0.0 | ProducerConfig values: n  | 	compression.type = nonen  | 	metric.reporters = []n  | 	metadata.max.age.ms = 300000n  | 	metadata.fetch.timeout.ms = 60000n  | 	reconnect.backoff.ms = 50n  | 	sasl.kerberos.ticket.renew.window.factor = 0.8n  | 	bootstrap.servers = [localhost:9093]n  | 	retry.backoff.ms = 100n  | 	sasl.kerberos.kinit.cmd = /usr/bin/kinitn  | 	buffer.memory = 33554432n  | 	timeout.ms = 30000n  | 	key.serializer = class org.apache.kafka.common.serialization.StringSerializern  | 	sasl.kerberos.service.name = nulln  | 	sasl.kerberos.ticket.renew.jitter = 0.05n  | 	ssl.keystore.type = JKSn  | 	ssl.trustmanager.algorithm = PKIXn  | 	block.on.buffer.full = falsen  | 	ssl.key.password = nulln  | 	max.block.ms = 60000n  | 	sasl.kerberos.min.time.before.relogin = 60000n  | 	connections.max.idle.ms = 540000n  | 	ssl.truststore.password = nulln  | 	max.in.flight.requests.per.connection = 5n  | 	metrics.num.samples = 2n  | 	client.id = myKafkaProducerAppn  | 	ssl.endpoint.identification.algorithm = nulln  | 	ssl.protocol = TLSn  | 	request.timeout.ms = 30000n  | 	ssl.provider = nulln  | 	ssl.enabled.protocols = [TLSv1.2, TLSv1.1, TLSv1]n  | 	acks = 1n  | 	batch.size = 16384n  | 	ssl.keystore.location = nulln  | 	receive.buffer.bytes = 32768n  | 	ssl.cipher.suites = nulln  | 	ssl.truststore.type = JKSn  | 	security.protocol = PLAINTEXTn  | 	retries = 0n  | 	max.request.size = 1048576n  | 	value.serializer = class org.apache.kafka.common.serialization.StringSerializern  | 	ssl.truststore.location = nulln  | 	ssl.keystore.password = nulln  | 	ssl.keymanager.algorithm = SunX509n  | 	metrics.sample.window.ms = 30000n  | 	partitioner.class = class org.apache.kafka.clients.producer.internals.DefaultPartitionern  | 	send.buffer.bytes = 131072n  | 	linger.ms = 0n  | 
14:53:56,708 | WARN  | xtenderThread-18 | ProducerConfig                   | 314 - wrap_mvn_org.apache.kafka_kafka-clients_0.9.0.1 - 0.0.0 | The configuration sasl.kerberos.ticket.renew.window.factor = 0.8 was supplied but isn't a known config.
14:53:56,708 | WARN  | xtenderThread-18 | ProducerConfig                   | 314 - wrap_mvn_org.apache.kafka_kafka-clients_0.9.0.1 - 0.0.0 | The configuration sasl.kerberos.kinit.cmd = /usr/bin/kinit was supplied but isn't a known config.
14:53:56,708 | WARN  | xtenderThread-18 | ProducerConfig                   | 314 - wrap_mvn_org.apache.kafka_kafka-clients_0.9.0.1 - 0.0.0 | The configuration sasl.kerberos.ticket.renew.jitter = 0.05 was supplied but isn't a known config.
14:53:56,708 | WARN  | xtenderThread-18 | ProducerConfig                   | 314 - wrap_mvn_org.apache.kafka_kafka-clients_0.9.0.1 - 0.0.0 | The configuration ssl.keystore.type = JKS was supplied but isn't a known config.
14:53:56,708 | WARN  | xtenderThread-18 | ProducerConfig                   | 314 - wrap_mvn_org.apache.kafka_kafka-clients_0.9.0.1 - 0.0.0 | The configuration ssl.trustmanager.algorithm = PKIX was supplied but isn't a known config.
14:53:56,708 | WARN  | xtenderThread-18 | ProducerConfig                   | 314 - wrap_mvn_org.apache.kafka_kafka-clients_0.9.0.1 - 0.0.0 | The configuration sasl.kerberos.min.time.before.relogin = 60000 was supplied but isn't a known config.
14:53:56,708 | WARN  | xtenderThread-18 | ProducerConfig                   | 314 - wrap_mvn_org.apache.kafka_kafka-clients_0.9.0.1 - 0.0.0 | The configuration ssl.protocol = TLS was supplied but isn't a known config.
14:53:56,708 | WARN  | xtenderThread-18 | ProducerConfig                   | 314 - wrap_mvn_org.apache.kafka_kafka-clients_0.9.0.1 - 0.0.0 | The configuration ssl.enabled.protocols = TLSv1.2,TLSv1.1,TLSv1 was supplied but isn't a known config.
14:53:56,708 | WARN  | xtenderThread-18 | ProducerConfig                   | 314 - wrap_mvn_org.apache.kafka_kafka-clients_0.9.0.1 - 0.0.0 | The configuration ssl.truststore.type = JKS was supplied but isn't a known config.
14:53:56,708 | WARN  | xtenderThread-18 | ProducerConfig                   | 314 - wrap_mvn_org.apache.kafka_kafka-clients_0.9.0.1 - 0.0.0 | The configuration ssl.keymanager.algorithm = SunX509 was supplied but isn't a known config.
14:53:56,708 | INFO  | xtenderThread-18 | AppInfoParser                    | 314 - wrap_mvn_org.apache.kafka_kafka-clients_0.9.0.1 - 0.0.0 | Kafka version : 0.9.0.1
14:53:56,708 | INFO  | xtenderThread-18 | AppInfoParser                    | 314 - wrap_mvn_org.apache.kafka_kafka-clients_0.9.0.1 - 0.0.0 | Kafka commitId : 23c69d62a0cabf06
14:53:56,719 | INFO  | xtenderThread-18 | OsgiSpringCamelContext           | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Route: spring-kafka-consumer-route started and consuming from: Endpoint[direct-vm://producerApp]
14:53:56,719 | INFO  | xtenderThread-18 | OsgiSpringCamelContext           | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Total 1 routes, of which 1 are started.
14:53:56,720 | INFO  | xtenderThread-18 | OsgiSpringCamelContext           | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Apache Camel 2.17.0.redhat-630187 (CamelContext: kafka-example-context) started in 0.067 seconds
14:53:56,724 | INFO  | xtenderThread-18 | OsgiBundleXmlApplicationContext  | 205 - org.apache.servicemix.bundles.spring-context - 3.2.16.RELEASE_1 | Publishing application context as OSGi service with properties {org.springframework.context.service.name=FuseCamelKafkaProducerSpringDSL, Bundle-SymbolicName=FuseCamelKafkaProducerSpringDSL, Bundle-Version=1.0.0.SNAPSHOT}
14:53:56,726 | INFO  | xtenderThread-18 | ContextLoaderListener            | 210 - org.springframework.osgi.extender - 1.2.1 | Application context successfully refreshed (OsgiBundleXmlApplicationContext(bundle=FuseCamelKafkaProducerSpringDSL, config=osgibundle:/META-INF/spring/*.xml))
14:54:04,383 | INFO  | l Console Thread | ultOsgiApplicationContextCreator | 210 - org.springframework.osgi.extender - 1.2.1 | Discovered configurations {osgibundle:/META-INF/spring/*.xml} in bundle [Fuse Kafka Consumer Example (FuseCamelKafkaConsumerSpringDSL)]
14:54:04,384 | INFO  | xtenderThread-19 | OsgiBundleXmlApplicationContext  | 205 - org.apache.servicemix.bundles.spring-context - 3.2.16.RELEASE_1 | Refreshing OsgiBundleXmlApplicationContext(bundle=FuseCamelKafkaConsumerSpringDSL, config=osgibundle:/META-INF/spring/*.xml): startup date [Fri Aug 18 14:54:04 IST 2017]; root of context hierarchy
14:54:04,384 | INFO  | xtenderThread-19 | OsgiBundleXmlApplicationContext  | 205 - org.apache.servicemix.bundles.spring-context - 3.2.16.RELEASE_1 | Application Context service already unpublished
14:54:04,385 | INFO  | xtenderThread-19 | XmlBeanDefinitionReader          | 203 - org.apache.servicemix.bundles.spring-beans - 3.2.16.RELEASE_1 | Loading XML bean definitions from URL [bundle://569.0:0/META-INF/spring/camel-context.xml]
14:54:04,402 | INFO  | xtenderThread-19 | DefaultListableBeanFactory       | 203 - org.apache.servicemix.bundles.spring-beans - 3.2.16.RELEASE_1 | Overriding bean definition for bean '_from1': replacing [Generic bean: class [org.apache.camel.spring.CamelEndpointFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null] with [Generic bean: class [org.apache.camel.spring.CamelEndpointFactoryBean]; scope=; abstract=false; lazyInit=false; autowireMode=0; dependencyCheck=0; autowireCandidate=true; primary=false; factoryBeanName=null; factoryMethodName=null; initMethodName=null; destroyMethodName=null]
14:54:04,402 | INFO  | xtenderThread-19 | WaiterApplicationContextExecutor | 210 - org.springframework.osgi.extender - 1.2.1 | No outstanding OSGi service dependencies, completing initialization for OsgiBundleXmlApplicationContext(bundle=FuseCamelKafkaConsumerSpringDSL, config=osgibundle:/META-INF/spring/*.xml)
14:54:04,403 | INFO  | xtenderThread-20 | DefaultListableBeanFactory       | 203 - org.apache.servicemix.bundles.spring-beans - 3.2.16.RELEASE_1 | Pre-instantiating singletons in org.springframework.beans.factory.support.DefaultListableBeanFactory@580367bb: defining beans [_from1,kafka-example-context:beanPostProcessor,kafka-example-context]; root of factory hierarchy
14:54:04,410 | INFO  | xtenderThread-20 | OsgiSpringCamelContext           | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Apache Camel 2.17.0.redhat-630187 (CamelContext: kafka-example-context) is starting
14:54:04,410 | INFO  | xtenderThread-20 | ManagedManagementStrategy        | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | JMX is enabled
14:54:04,421 | INFO  | xtenderThread-20 | DefaultRuntimeEndpointRegistry   | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Runtime endpoint registry is in extended mode gathering usage statistics of all incoming and outgoing endpoints (cache limit: 1000)
14:54:04,429 | INFO  | xtenderThread-20 | OsgiSpringCamelContext           | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | AllowUseOriginalMessage is enabled. If access to the original message is not needed, then its recommended to turn this option off as it may improve performance.
14:54:04,429 | INFO  | xtenderThread-20 | OsgiSpringCamelContext           | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | StreamCaching is not in use. If using streams then its recommended to enable stream caching. See more details at http://camel.apache.org/stream-caching.html
14:54:04,433 | INFO  | xtenderThread-20 | KafkaConsumer                    | 315 - org.apache.camel.camel-kafka - 2.17.0.redhat-630187 | Starting Kafka consumer
14:54:04,434 | INFO  | xtenderThread-20 | ConsumerConfig                   | 314 - wrap_mvn_org.apache.kafka_kafka-clients_0.9.0.1 - 0.0.0 | ConsumerConfig values: n  | 	metric.reporters = []n  | 	metadata.max.age.ms = 300000n  | 	value.deserializer = class org.apache.kafka.common.serialization.StringDeserializern  | 	group.id = testingGroupIdn  | 	partition.assignment.strategy = [org.apache.kafka.clients.consumer.RangeAssignor]n  | 	reconnect.backoff.ms = 50n  | 	sasl.kerberos.ticket.renew.window.factor = 0.8n  | 	max.partition.fetch.bytes = 1048576n  | 	bootstrap.servers = [localhost:9092]n  | 	retry.backoff.ms = 100n  | 	sasl.kerberos.kinit.cmd = /usr/bin/kinitn  | 	sasl.kerberos.service.name = nulln  | 	sasl.kerberos.ticket.renew.jitter = 0.05n  | 	ssl.keystore.type = JKSn  | 	ssl.trustmanager.algorithm = PKIXn  | 	enable.auto.commit = truen  | 	ssl.key.password = nulln  | 	fetch.max.wait.ms = 500n  | 	sasl.kerberos.min.time.before.relogin = 60000n  | 	connections.max.idle.ms = 540000n  | 	ssl.truststore.password = nulln  | 	session.timeout.ms = 30000n  | 	metrics.num.samples = 2n  | 	client.id = n  | 	ssl.endpoint.identification.algorithm = nulln  | 	key.deserializer = class org.apache.kafka.common.serialization.StringDeserializern  | 	ssl.protocol = TLSn  | 	check.crcs = truen  | 	request.timeout.ms = 40000n  | 	ssl.provider = nulln  | 	ssl.enabled.protocols = [TLSv1.2, TLSv1.1, TLSv1]n  | 	ssl.keystore.location = nulln  | 	heartbeat.interval.ms = 3000n  | 	auto.commit.interval.ms = 5000n  | 	receive.buffer.bytes = 32768n  | 	ssl.cipher.suites = nulln  | 	ssl.truststore.type = JKSn  | 	security.protocol = PLAINTEXTn  | 	ssl.truststore.location = nulln  | 	ssl.keystore.password = nulln  | 	ssl.keymanager.algorithm = SunX509n  | 	metrics.sample.window.ms = 30000n  | 	fetch.min.bytes = 1024n  | 	send.buffer.bytes = 131072n  | 	auto.offset.reset = latestn  | 
14:54:04,435 | WARN  | xtenderThread-20 | ConsumerConfig                   | 314 - wrap_mvn_org.apache.kafka_kafka-clients_0.9.0.1 - 0.0.0 | The configuration sasl.kerberos.ticket.renew.window.factor = 0.8 was supplied but isn't a known config.
14:54:04,435 | WARN  | xtenderThread-20 | ConsumerConfig                   | 314 - wrap_mvn_org.apache.kafka_kafka-clients_0.9.0.1 - 0.0.0 | The configuration sasl.kerberos.kinit.cmd = /usr/bin/kinit was supplied but isn't a known config.
14:54:04,435 | WARN  | xtenderThread-20 | ConsumerConfig                   | 314 - wrap_mvn_org.apache.kafka_kafka-clients_0.9.0.1 - 0.0.0 | The configuration sasl.kerberos.ticket.renew.jitter = 0.05 was supplied but isn't a known config.
14:54:04,435 | WARN  | xtenderThread-20 | ConsumerConfig                   | 314 - wrap_mvn_org.apache.kafka_kafka-clients_0.9.0.1 - 0.0.0 | The configuration ssl.keystore.type = JKS was supplied but isn't a known config.
14:54:04,435 | WARN  | xtenderThread-20 | ConsumerConfig                   | 314 - wrap_mvn_org.apache.kafka_kafka-clients_0.9.0.1 - 0.0.0 | The configuration ssl.trustmanager.algorithm = PKIX was supplied but isn't a known config.
14:54:04,435 | WARN  | xtenderThread-20 | ConsumerConfig                   | 314 - wrap_mvn_org.apache.kafka_kafka-clients_0.9.0.1 - 0.0.0 | The configuration sasl.kerberos.min.time.before.relogin = 60000 was supplied but isn't a known config.
14:54:04,435 | WARN  | xtenderThread-20 | ConsumerConfig                   | 314 - wrap_mvn_org.apache.kafka_kafka-clients_0.9.0.1 - 0.0.0 | The configuration ssl.protocol = TLS was supplied but isn't a known config.
14:54:04,435 | WARN  | xtenderThread-20 | ConsumerConfig                   | 314 - wrap_mvn_org.apache.kafka_kafka-clients_0.9.0.1 - 0.0.0 | The configuration ssl.enabled.protocols = TLSv1.2,TLSv1.1,TLSv1 was supplied but isn't a known config.
14:54:04,435 | WARN  | xtenderThread-20 | ConsumerConfig                   | 314 - wrap_mvn_org.apache.kafka_kafka-clients_0.9.0.1 - 0.0.0 | The configuration ssl.truststore.type = JKS was supplied but isn't a known config.
14:54:04,435 | WARN  | xtenderThread-20 | ConsumerConfig                   | 314 - wrap_mvn_org.apache.kafka_kafka-clients_0.9.0.1 - 0.0.0 | The configuration ssl.keymanager.algorithm = SunX509 was supplied but isn't a known config.
14:54:04,435 | INFO  | xtenderThread-20 | AppInfoParser                    | 314 - wrap_mvn_org.apache.kafka_kafka-clients_0.9.0.1 - 0.0.0 | Kafka version : 0.9.0.1
14:54:04,435 | INFO  | xtenderThread-20 | AppInfoParser                    | 314 - wrap_mvn_org.apache.kafka_kafka-clients_0.9.0.1 - 0.0.0 | Kafka commitId : 23c69d62a0cabf06
14:54:04,435 | INFO  | xtenderThread-20 | OsgiSpringCamelContext           | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Route: spring-kafka-consumer-route started and consuming from: Endpoint[kafka://localhost:9092?groupId=testingGroupId&topic=topic1]
14:54:04,436 | INFO  | xtenderThread-20 | OsgiSpringCamelContext           | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Total 1 routes, of which 1 are started.
14:54:04,436 | INFO  | xtenderThread-20 | OsgiSpringCamelContext           | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Apache Camel 2.17.0.redhat-630187 (CamelContext: kafka-example-context) started in 0.026 seconds
14:54:04,438 | INFO  | xtenderThread-20 | OsgiBundleXmlApplicationContext  | 205 - org.apache.servicemix.bundles.spring-context - 3.2.16.RELEASE_1 | Publishing application context as OSGi service with properties {org.springframework.context.service.name=FuseCamelKafkaConsumerSpringDSL, Bundle-SymbolicName=FuseCamelKafkaConsumerSpringDSL, Bundle-Version=1.0.0.SNAPSHOT}
14:54:04,439 | INFO  | xtenderThread-20 | ContextLoaderListener            | 210 - org.springframework.osgi.extender - 1.2.1 | Application context successfully refreshed (OsgiBundleXmlApplicationContext(bundle=FuseCamelKafkaConsumerSpringDSL, config=osgibundle:/META-INF/spring/*.xml))
14:54:04,855 | INFO  | Consumer[topic2] | AbstractCoordinator              | 314 - wrap_mvn_org.apache.kafka_kafka-clients_0.9.0.1 - 0.0.0 | Attempt to heart beat failed since the group is rebalancing, try to re-join group.
14:54:05,373 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:05,374 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=834, kafka.TOPIC=topic1}
14:54:05,374 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:05,374 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=834, kafka.TOPIC=topic1}
14:54:05,375 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-1, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=834, kafka.TOPIC=topic1}
14:54:05,498 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:05,498 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-3, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=835, kafka.TOPIC=topic1}
14:54:05,498 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:05,498 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-3, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=835, kafka.TOPIC=topic1}
14:54:05,498 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-3, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=835, kafka.TOPIC=topic1}
14:54:05,500 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:05,500 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-5, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=836, kafka.TOPIC=topic1}
14:54:05,500 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:05,500 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-5, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=836, kafka.TOPIC=topic1}
14:54:05,501 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-5, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=836, kafka.TOPIC=topic1}
14:54:05,502 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:05,502 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-7, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=837, kafka.TOPIC=topic1}
14:54:05,502 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:05,502 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-7, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=837, kafka.TOPIC=topic1}
14:54:05,503 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-7, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=837, kafka.TOPIC=topic1}
14:54:05,504 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:05,504 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-9, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=838, kafka.TOPIC=topic1}
14:54:05,504 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:05,504 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-9, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=838, kafka.TOPIC=topic1}
14:54:05,504 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-9, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=838, kafka.TOPIC=topic1}
14:54:05,874 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
14:54:05,874 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Headers: {breadcrumbId=ID-RajivMacBookPro-60157-1503042709431-5-11, kafka.CONTENT_TYPE=1, kafka.EXCHANGE_NAME=0, kafka.OFFSET=839, kafka.TOPIC=topic1}
14:54:05,874 | INFO  | Consumer[topic1] | spring-kafka-consumer-route      | 232 - org.apache.camel.camel-core - 2.17.0.redhat-630187 | Received Body: SMS1 
